Basic_Setting;"Configuración Básica Paymill"
feedback_error_general_unknown_payment;"El método de pago no se ha podido identificar. Por favor, contacta con nuestro equipo de soporte."
feedback_error_sepa_bic;"Por favor, introduzca un BIC válido."
feedback_error_sepa_iban;"Por favor, introduzca un IBAN válido"
feedback_general_affirmation;"¿Estás seguro?"
feedback_info_creditcard_slogan;"Pagos seguros con tarjeta de crédito gestionados por"
feedback_info_directdebit_slogan;"Domiciliación bancaria gestionada por"
feedback_info_general_required;"Los campos marcados con un * son obligatorios."
feedback_month_april;abril
feedback_month_august;agosto
feedback_month_december;diciembre
feedback_month_february;febrero
feedback_month_january;enero
feedback_month_july;julio
feedback_month_june;junio
feedback_month_march;marzo
feedback_month_may;mayo
feedback_month_november;noviembre
feedback_month_october;octubre
feedback_month_september;septiembre
feedback_refund_failure;"Reembolso fallido"
feedback_refund_success;"Reembolso realizado con éxito"
feedback_search_failure;"Búsqueda fallida"
feedback_search_success;"Búsqueda realizada con éxito"
frontend_cart_empty;"Su cesta de la compra está vacía"
frontend_creditcard;"Tarjeta de crédito"
frontend_creditcard_button_cancel;Cancelar
frontend_creditcard_label_cvc;"Código CVC"
frontend_creditcard_label_holder;"Titular de la tarjeta"
frontend_creditcard_label_number;"Número de tarjeta"
frontend_creditcard_label_valid;"Válida hasta"
frontend_creditcard_tooltip_cvc;"El código CVV o CVC es una medida de seguridad de las tarjetas de crédito. Normalmente es un número de tres a cuatro dígitos de longitud. En las tarjetas de crédito VISA, se le llama código CVV. Se puede encontrar este mismo código en las tarjetas de crédito MasterCard -donde se le llama CVC. CVC es la abreviatura de 'código de validez de la tarjeta'. El código CVV, por otro lado, es la abreviatura de 'código de valor de verificación de la tarjeta'. Parecidas a MasterCard y Visa, otras tarjetas como Diners Club, Discover y JCB contienen un número de tres dígitos que se encuentra normalmente en el reverso de la tarjeta de crédito. Las tarjetas MAESTRO pueden tener o no el código CVV de tres dígitos. En caso de usar una tarjeta MAESTRO sin CVV, puede introducir 000 en el formulario en su lugar. American Express usa el CID (número de identificación de la tarjeta). El CID es un número de cuatro dígitos que normalmente se encuentra en el anverso de la tarjeta, arriba a la derecha del número de la tarjeta de crédito."
frontend_directdebit;"Domiciliación bancaria"
frontend_directdebit_label_bankcode;"Código bancario"
frontend_directdebit_label_bic;BIC
frontend_directdebit_label_holder;"Titular de la cuenta"
frontend_directdebit_label_iban;IBAN
frontend_directdebit_label_number;"Número de cuenta"
frontend_order_now;Pedido
frontend_redirect_order_overview;"Revisión del pedido"
frontend_redirect_paymentselection;"Selección del pago"
frontend_thank_you;"Gracias por su pedido"
hooks_headline;"Enlaces PAYMILL"
log_action_success;"Acción correcta"
log_connectedSearch_button;"Búsqueda conectada"
log_connectedSearch_description;"La búsqueda conectada lista todos los resultados de búsqueda así como las entradas de registro de las consultas de búsquedas."
log_date_title;"Fecha de registro"
log_deleteEntry_button;"Borrar entrada"
log_deleteLog_button;"Registro vacío"
log_detail_title;Detalles
log_devInfo_title;"Desarrollador de informes"
log_id_title;Identificación
log_merchantInfo_title;"Información del comerciante"
log_processId_title;"Identificación proceso"
log_search_button;Buscar
log_search_details;"Mostrar detalles"
log_title;"Registro de PAYMILL"
log_version_title;"Versión del módulo"
module_title;"Pagos con tarjeta de crédito PAYMILL y con dedomiciliación bancaria"
operations_title;"Opciones de transacción de PAYMILL"
refund_description;"Aquí se pueden reembolsar las transacciones con éxito."
refund_label;Reembolso
send_invoice_mail;"Enviar factura por correo"
text_date;Fecha
text_debug;Depurar
text_message;Mensaje
token_error;"Ha ocurrido un error durante la creación del indicador."
PAYMILL_40000;"General problem with data."
PAYMILL_40001;"General problem with payment data."
PAYMILL_40100;"Problem with credit card data."
PAYMILL_40101;"Problem with cvv."
PAYMILL_40102;"Card expired or not yet valid."
PAYMILL_40103;"Limit exceeded."
PAYMILL_40104;"Card invalid."
PAYMILL_40105;"Expiry date not valid."
PAYMILL_40106;"Credit card brand required."
PAYMILL_40200;"Problem with bank account data."
PAYMILL_40201;"Bank account data combination mismatch."
PAYMILL_40202;"User authentication failed."
PAYMILL_40300;"Problem with 3d secure data."
PAYMILL_40301;"Currency / amount mismatch"
PAYMILL_40400;"Problem with input data."
PAYMILL_40401;"Amount too low or zero."
PAYMILL_40402;"Usage field too long."
